GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
810790329,105,51.5,-0.116667,20181218,"London, London, City of, United Kingdom",4,-0.97408954891918,https://www.business-standard.com/article/international/amnesty-international-explains-how-twitter-is-a-toxic-place-for-women-118121800254_1.html
810191042,130,13.3285,14.1217,20181215,"Lake Chad, Nigeria (general), Nigeria",4,-11.2781916581219,https://news.yahoo.com/nigerian-military-lifts-ban-unicef-restive-northeast-001734418.html
810230254,190,9.08333,7.53333,20181215,"Abuja, Abuja Federal Capital Territory, Nigeria",4,-11.1756590904718,https://www.wftv.com/news/national-news/ap-top-news/nigerias-military-lifts-suspension-of-unicef-activities/889181672
809473827,136,31.2728,118.337,20181212,"Lu Kang, Anhui, China",4,-4.19913182028897,https://www.rte.ie/news/world/2018/1212/1016685-michael-kovrig-china/
808871803,130,9.08333,7.53333,20181210,"Abuja, Abuja Federal Capital Territory, Nigeria",4,-11.633662065044,https://www.business-standard.com/article/pti-stories/amnesty-calls-on-icc-to-fully-probe-boko-haram-conflict-atrocities-118121000057_1.html
807931451,154,55.7522,37.6156,20181205,"Moscow, Moskva, Russia",4,-7.65841735338064,https://www.morganton.com/news/world/ap/russian-court-jails--year-old-rights-activist/article_e0d82ec0-2d29-5adf-b7de-c464c3d07bcf.html
807931449,144,52.9375,50.5426,20181205,"Tverskoy, Samarskaya Oblast', Russia",4,-7.68653885254533,https://www.morganton.com/news/world/ap/russian-court-jails--year-old-rights-activist/article_e0d82ec0-2d29-5adf-b7de-c464c3d07bcf.html
807931450,144,52.9375,50.5426,20181205,"Tverskoy, Samarskaya Oblast', Russia",4,-7.68653885254533,https://www.morganton.com/news/world/ap/russian-court-jails--year-old-rights-activist/article_e0d82ec0-2d29-5adf-b7de-c464c3d07bcf.html
806690013,130,10.0,8.0,20181130,Nigeria,1,-12.2142796083419,https://au.news.yahoo.com/nigerian-police-kill-over-100-bandits-crackdown-174613449--spt.html
806690011,130,10.0,8.0,20181130,Nigeria,1,-12.2142796083419,https://au.news.yahoo.com/nigerian-police-kill-over-100-bandits-crackdown-174613449--spt.html
806690012,130,10.0,8.0,20181130,Nigeria,1,-12.2142796083419,https://au.news.yahoo.com/nigerian-police-kill-over-100-bandits-crackdown-174613449--spt.html
806546870,110,33.9167,76.6667,20181130,"Kashmir, Jammu and Kashmir, India",5,-9.48869822363154,https://www.dailymail.co.uk/wires/afp/article-6445593/Indian-pellet-guns-Kashmir-kill-blind-enrage.html
806546871,110,33.9167,76.6667,20181130,"Kashmir, Jammu and Kashmir, India",5,-9.48869822363154,https://www.dailymail.co.uk/wires/afp/article-6445593/Indian-pellet-guns-Kashmir-kill-blind-enrage.html
806690010,130,10.0,8.0,20181130,Nigeria,1,-12.2142796083419,https://au.news.yahoo.com/nigerian-police-kill-over-100-bandits-crackdown-174613449--spt.html
805944525,208,16.45,120.55,20181128,"Philippine, Benguet, Philippines",4,-11.8481552785849,https://www.justiceinfo.net/en/live-feed/39606-alarm-after-philippines-duterte-death-squad-plan.html
805651709,200,0.315556,32.5656,20181127,"Kampala, Kampala, Uganda",4,-8.47060735625489,http://www.therepublic.com/2018/11/27/af-uganda-military-massacre/
805254239,220,25.0478,121.532,20181126,"Taipei, T'ai-pei, Taiwan",4,3.37117686479294,https://www.goldcoastbulletin.com.au/news/world/taiwanese-reject-legalising-samesex-unions-in-referendum/news-story/60d437ab73d57de7ef315cb5fbc01e07?nk=03dee95a9d9264efba9c7a66c73f5b10-1543189677
805254240,220,25.0478,121.532,20181126,"Taipei, T'ai-pei, Taiwan",4,3.37117686479294,https://www.goldcoastbulletin.com.au/news/world/taiwanese-reject-legalising-samesex-unions-in-referendum/news-story/60d437ab73d57de7ef315cb5fbc01e07?nk=03dee95a9d9264efba9c7a66c73f5b10-1543189677
805112010,280,24.0,121.0,20181125,Taiwan,1,2.38314758401452,https://www.kansascity.com/news/nation-world/article222150800.html
805110618,2360,25.0478,121.532,20181125,"Taipei, T'ai-pei, Taiwan",4,2.55860298682519,https://www.mychamplainvalley.com/news/taiwanese-reject-legalizing-samesex-unions-in-referendum/1616593663
805110619,2360,25.0478,121.532,20181125,"Taipei, T'ai-pei, Taiwan",4,2.55860298682519,https://www.mychamplainvalley.com/news/taiwanese-reject-legalizing-samesex-unions-in-referendum/1616593663
805112011,280,24.0,121.0,20181125,Taiwan,1,2.38314758401452,https://www.kansascity.com/news/nation-world/article222150800.html
804966843,409,26.0,50.5,20181124,Bahrain,1,-9.96425214039371,http://www.digitaljournal.com/news/world/bahrain-heads-to-polls-amid-boycott-calls/article/537561
804875615,147,50.7,-3.53333,20181123,"Exeter, Devon, United Kingdom",4,-0.690284394709747,https://www.banburycake.co.uk/news/national/17243730.uae-government-studying-request-for-clemency-over-jailed-briton/
804296755,120,54.5,-6.5,20181121,"Northern Ireland, Craigavon, United Kingdom",4,-3.24694202294314,https://www.shropshirestar.com/news/uk-news/2018/11/21/kate-beckinsale-backs-decriminalisation-of-abortion-in-northern-ireland/
804019681,170,30.05,31.25,20181120,"Cairo, Al Qahirah, Egypt",4,-17.1313390905252,https://www.1310news.com/2018/11/20/rights-group-egypt-tortures-disappears-children/
803804457,316,52.1333,-106.667,20181119,"Saskatoon, Saskatchewan, Canada",4,-6.34565619100585,http://www.kelownadailycourier.ca/news/national_news/article_c70ce24f-666f-56d9-a0a7-b02fa5c1003d.html
803804458,316,52.1333,-106.667,20181119,"Saskatoon, Saskatchewan, Canada",4,-6.34565619100585,http://www.kelownadailycourier.ca/news/national_news/article_c70ce24f-666f-56d9-a0a7-b02fa5c1003d.html
803512456,110,27.0,30.0,20181118,Egypt,1,-4.50840495719804,http://www.thesundaily.my/news/2018/11/18/egypt-rounds-dozens-human-rights-defenders-hrw
803512457,110,27.0,30.0,20181118,Egypt,1,-4.50840495719804,http://www.thesundaily.my/news/2018/11/18/egypt-rounds-dozens-human-rights-defenders-hrw
802908930,342,53.0,-8.0,20181115,Ireland,1,-1.48068511482797,https://www.droitwichadvertiser.co.uk/news/national/17227334.northern-irish-women-will-be-allowed-to-access-abortion-in-republic/
802726169,145,35.75,51.5148,20181115,"Tehran, Tehran, Iran",4,-11.5671434013518,https://www.cnn.com/2018/11/14/middleeast/iran-currency-executions-intl/
802726168,145,35.75,51.5148,20181115,"Tehran, Tehran, Iran",4,-11.5671434013518,https://www.cnn.com/2018/11/14/middleeast/iran-currency-executions-intl/
802095979,222,51.5,-0.116667,20181113,"London, London, City of, United Kingdom",4,-1.07031998758454,https://www.france24.com/en/20181113-no-longer-symbol-hope-aung-san-suu-kyi-stripped-amnesty-award-myanmar-rohingya
802177850,190,55.7522,37.6156,20181113,"Kremlin, Moskva, Russia",4,-5.53590145314306,https://www.dailysabah.com/europe/2018/11/13/opposition-leader-alexei-navalny-barred-from-leaving-russia
802095983,135,51.5,-0.116667,20181113,"London, London, City of, United Kingdom",4,-1.50641415807923,https://www.france24.com/en/20181113-no-longer-symbol-hope-aung-san-suu-kyi-stripped-amnesty-award-myanmar-rohingya
802123291,230,1.366667,103.8,20181113,Singapore,1,-1.39946272721778,https://sg.news.yahoo.com/china-backed-trade-deal-pushed-back-2019-031345068.html
802092615,450,25.0,45.0,20181113,Saudi Arabia,1,-6.37787266572653,https://www.sandiegosun.com/news/258298531/yemen-port-city-hospital-evacuated-as-hostilities-worsen
802095978,126,24.0,90.0,20181113,Bangladesh,1,-4.41118195118138,https://www.thecable.ng/amnesty-international-withdraws-human-rights-award-from-myanmar-leader
802180556,186,16.8053,96.1561,20181113,"Yangon, Yangon, Myanmar",4,-1.96935456512923,http://www.digitaljournal.com/news/world/we-don-t-need-their-prize-myanmar-defiant-as-amnesty-pulls-suu-kyi-award/article/536740
802092614,220,9.03333,38.7,20181113,"Addis Ababa, (ET10), Ethiopia",4,-10.947378180845,https://www.zimbabwestar.com/news/258298214/ethiopia-arrests-63-suspected-of-rights-abuses-corruption
802192987,119,25.0,45.0,20181113,Saudi Arabia,1,-6.68064968780665,https://www.news.com.au/finance/economy/world-economy/nightmarish-battle-over-a-port-which-could-save-millions-in-yemen-is-worsening/news-story/d1d828c70f5f1cb26cb282634cb10eba
802192984,102,46.0,2.0,20181113,France,1,-6.68064968780665,https://www.news.com.au/finance/economy/world-economy/nightmarish-battle-over-a-port-which-could-save-millions-in-yemen-is-worsening/news-story/d1d828c70f5f1cb26cb282634cb10eba
802177849,185,55.7522,37.6156,20181113,"Kremlin, Moskva, Russia",4,-5.53590145314306,https://www.dailysabah.com/europe/2018/11/13/opposition-leader-alexei-navalny-barred-from-leaving-russia
802030816,1181,22.0,98.0,20181112,Myanmar,1,-0.456254142656899,https://www.leaderlive.co.uk/news/national/17218853.amnesty-international-withdraws-award-from-burmese-leader-suu-kyi/
802002937,820,9.03333,38.7,20181112,"Addis Ababa, (ET10), Ethiopia",4,-10.9537842271596,https://www.roanoke.com/news/wire_headlines/ethiopia-arrests-suspected-of-rights-abuses-corruption/article_c4360cf8-6d42-569a-9df4-8b3f2e89b1e5.html
802015169,114,51.5,-0.116667,20181112,"London, London, City of, United Kingdom",4,-0.366110684578147,https://www.bangkokpost.com/news/world/1574682/amnesty-takes-back-award-to-aung-san-suu-kyi
801555075,113,14.7978,42.9545,20181110,"Hodeida, Al ?udaydah, Yemen",4,-4.38091063541644,https://sg.news.yahoo.com/saudi-coalition-halts-refueling-deal-us-yemen-war-040500741.html
801015256,128,14.7978,42.9545,20181108,"Hodeida, Al ?udaydah, Yemen",4,-6.12540741792614,https://www.msn.com/en-us/news/world/yemen-troops-push-towards-hodeidas-vital-docks/ar-BBPtPJN
801015255,129,14.7978,42.9545,20181108,"Hodeida, Al ?udaydah, Yemen",4,-6.12540741792614,https://www.msn.com/en-us/news/world/yemen-troops-push-towards-hodeidas-vital-docks/ar-BBPtPJN
