GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
810260653,136,34.5828,-117.409,20181215,"Adelanto, California, United States",3,-6.76830317619276,https://www.voanews.com/a/us-immigrant-detentions-accusations-of-rights-violations-rise/4701945.html
806827711,282,-34.5875,-58.6725,20181201,"Buenos Aires, Distrito Federal, Argentina",4,-2.710139898702,https://wibqam.com/news/articles/2018/dec/01/trump-chinas-xi-poised-for-high-stakes-summit-over-trade-war/
806827710,102,-34.5875,-58.6725,20181201,"Buenos Aires, Distrito Federal, Argentina",4,-2.710139898702,https://wibqam.com/news/articles/2018/dec/01/trump-chinas-xi-poised-for-high-stakes-summit-over-trade-war/
806294484,600,14.6042,120.982,20181129,"Manila, Manila, Philippines",4,-5.89444032395598,https://www.npr.org/2018/11/29/671795507/3-police-officers-found-guilty-of-murder-in-philippines-war-on-drugs
806294485,400,16.45,120.55,20181129,"Philippine, Benguet, Philippines",4,-5.89444032395598,https://www.npr.org/2018/11/29/671795507/3-police-officers-found-guilty-of-murder-in-philippines-war-on-drugs
806082281,1152,15.5,47.5,20181128,Yemen,1,-7.58370338707783,http://www.startribune.com/argentina-prosecutor-acts-on-complaint-against-saudi-prince/501460651/
805828800,104,-34.0,-64.0,20181128,Argentina,1,-2.10239452603871,https://www.japantimes.co.jp/news/2018/11/28/world/politics-diplomacy-world/saudi-crown-prince-visits-tunisia-amid-protests-jamal-khashoggi-slaying/
805664066,912,-34.0,-64.0,20181127,Argentina,1,-3.45355914494954,http://www.wdam.com/2018/11/27/saudi-crown-prince-visits-tunisia-amid-khashoggi-protests/
805588692,103,-34.5875,-58.6725,20181127,"Buenos Aires, Distrito Federal, Argentina",4,-0.553762012881388,https://www.clickittefaq.com/hrw-asks-argentina-to-probe-saudi-crown-prince-over-yemen-khashoggi/
805397766,480,27.0,30.0,20181126,Egypt,1,-0.514780519713822,http://www.kenw.org/post/uae-pardons-british-man-days-after-he-received-life-sentence-spying
805397761,360,27.0,30.0,20181126,Egypt,1,-0.514780519713822,http://www.kenw.org/post/uae-pardons-british-man-days-after-he-received-life-sentence-spying
805397762,240,27.0,30.0,20181126,Egypt,1,-0.514780519713822,http://www.kenw.org/post/uae-pardons-british-man-days-after-he-received-life-sentence-spying
805139983,168,24.0,121.0,20181125,Taiwan,1,0.775897412133592,https://kxlf.com/cnn-asia-pacific/2018/11/25/taiwan-voters-reject-same-sex-marriage/
805096351,250,24.0,121.0,20181125,Taiwan,1,0.725475409024662,http://cnnphilippines.com/world/2018/11/24/lgbt-same-sex-marriage-taiwan.html
