GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
810492627,138,32.25,67.25,20181217,"Zabul, Zabol, Afghanistan",5,-3.08567017562457,https://www.asiabulletin.com/news/258610557/the-forgotten-afghan-province-that-became-taliban-country
810462479,128,32.25,67.25,20181216,"Zabul, Zabol, Afghanistan",5,-3.21582731035335,https://www.rferl.org/a/the-forgotten-afghan-province-that-became-taliban-country/29659327.html
810230257,104,22.25,114.166667,20181215,Hong Kong,1,-3.01507537688442,https://www.taiwansun.com/news/258599724/us-canada-promise-fair-process-for-chinese-tech-executive
810230255,156,22.25,114.166667,20181215,Hong Kong,1,-3.01507537688442,https://www.taiwansun.com/news/258599724/us-canada-promise-fair-process-for-chinese-tech-executive
809446777,119,39.9289,116.388,20181212,"Beijing, Beijing, China",4,-5.60286058790324,https://www.expressnews.com/news/crime/article/China-says-no-information-on-detained-ex-Canadian-13459521.php
809254278,216,21.4201,110.292,20181211,"Wanzhou, Guangdong, China",4,-2.30727298227333,https://www.bowenislandundercurrent.com/former-canadian-diplomat-detained-in-china-amid-rising-tensions-reports-1.23528190
809251084,171,21.4201,110.292,20181211,"Wanzhou, Guangdong, China",4,-5.99206570195269,https://www.princegeorgecitizen.com/former-canadian-diplomat-detained-in-china-amid-rising-tensions-reports-1.23528190
809251086,240,21.4201,110.292,20181211,"Wanzhou, Guangdong, China",4,-3.38530341728501,https://www.princegeorgecitizen.com/former-canadian-diplomat-detained-in-china-amid-rising-tensions-reports-1.23528190
809251087,279,21.4201,110.292,20181211,"Wanzhou, Guangdong, China",4,-3.38530341728501,https://www.princegeorgecitizen.com/former-canadian-diplomat-detained-in-china-amid-rising-tensions-reports-1.23528190
809254279,387,21.4201,110.292,20181211,"Wanzhou, Guangdong, China",4,-2.30727298227333,https://www.bowenislandundercurrent.com/former-canadian-diplomat-detained-in-china-amid-rising-tensions-reports-1.23528190
797670840,303,16.0,30.0,20181026,Sudan,1,-6.02141606192027,http://mynorthwest.com/1161147/south-sudan-peace-deal-bumpy-as-rebel-leader-doesnt-return/
786943352,125,34.5167,69.1833,20180914,"Kabul, Kabol, Afghanistan",4,-7.80994766427913,http://www.digitaljournal.com/news/world/afghan-conflict-could-be-deadlier-than-syria-in-2018-analysts/article/532010
