GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
807974886,140,51.5,10.5,20181206,Germany,1,-4.46096654275093,http://english.wafa.ps/page.aspx?id=xpL2j4a106685800782axpL2j4
807783101,324,51.5,10.5,20181205,Germany,1,-4.46096654275093,http://english.wafa.ps/page.aspx?id=250db6a106685800782a250db6
807783102,162,51.5,10.5,20181205,Germany,1,-4.46096654275093,http://english.wafa.ps/page.aspx?id=250db6a106685800782a250db6
806190912,124,35.685,139.751,20181129,"Tokyo, Tokyo, Japan",4,-5.80392440857494,https://www.nytimes.com/aponline/2018/11/28/world/asia/ap-as-south-korea-japan-forced-labor.html
800666490,126,-8.833333,125.75,20181107,East Timor,1,-5.49696477912282,https://abcnews.go.com/International/wireStory/trial-australian-spy-hear-evidence-secret-59024593
791721815,127,35.75,51.5148,20181003,"Tehran, Tehran, Iran",4,-2.18898049179925,https://www.msn.com/en-us/news/world/un-court-orders-us-to-halt-sanctions-on-humanitarian-goods-to-iran/ar-BBNRHWP
782317052,1592,35.75,51.5148,20180827,"Tehran, Tehran, Iran",4,-6.09577479539592,https://www.myajc.com/business/iran-goes-highest-court-over-reimposed-sanctions/ne8bTzekSvTAzl61mqHNHP/
773110576,140,6.0,12.0,20180719,Cameroon,1,0.0631638443403585,https://www.thenewsguru.com/cameroon-nigeria-mixed-commission-hindered-boko-haram-un-chief/
767865083,174,33.0,44.0,20180628,Iraq,1,-5.10227765875955,https://www.star-telegram.com/news/nation-world/world/article213977129.html
767865084,134,-8.833333,125.75,20180628,East Timor,1,-5.05315323438035,https://www.star-telegram.com/news/nation-world/world/article213977129.html
767865082,169,-35.2833,149.217,20180628,"Canberra, Australian Capital Territory, Australia",4,-5.09081512705136,https://www.star-telegram.com/news/nation-world/world/article213977129.html
767573306,375,52.5,5.75,20180627,Netherlands,1,-3.12134991835263,https://www.sfgate.com/news/world/article/UN-s-highest-court-begins-hearing-Qatar-lawsuit-13029580.php
758056667,1366,31.7667,35.2333,20180522,"Jerusalem, Israel (general), Israel",4,-6.30662784445354,http://www.bellinghamherald.com/news/nation-world/world/article211642399.html
758036167,368,31.4167,34.3333,20180522,"Gaza, Israel (general), Israel",4,-6.31020009847881,http://www.squamishchief.com/palestinian-foreign-minister-asks-icc-to-investigate-israel-1.23309528
758171067,187,31.7667,35.2333,20180522,"Jerusalem, Israel (general), Israel",4,-6.26654672639119,https://www.chieftain.com/news/world/palestinians-ask-icc-to-investigate-alleged-crimes-by-israel/article_6365ede1-714b-52ed-bda3-5c731a9a2470.html
743407759,140,35.0,38.0,20180330,Syria,1,-7.34207817544625,https://www.ourmidland.com/news/world/article/The-Latest-IS-member-says-hostage-killings-12794020.php
723900409,176,32.2833,75.65,20180120,"Pathankot, Punjab, India",4,-5.27466592148175,http://www.business-standard.com/article/news-ians/pakistan-brings-up-kulbhushan-jadhav-in-un-security-council-debate-118012000165_1.html
723549288,102,42.0,21.4333,20180119,"Skopje, Macedonia (general), Macedonia",4,-1.8858303424002,http://www.texomashomepage.com/news/ap-explains-macedoniagreece-name-dispute-goes-back-in-time/923710359
723452388,184,42.0,21.4333,20180118,"Skopje, Macedonia (general), Macedonia",4,-1.82011395767549,http://www.ksby.com/story/37295637/ap-explains-macedonia-greece-name-dispute-goes-back-in-time
723452389,166,37.9833,23.7333,20180118,"Athens, AttikíR, Greece",4,-1.82739671219357,http://www.heraldonline.com/news/nation-world/world/article195338864.html
723452387,546,42.0,21.4333,20180118,"Skopje, Macedonia (general), Macedonia",4,-1.82011395767549,http://www.ksby.com/story/37295637/ap-explains-macedonia-greece-name-dispute-goes-back-in-time
717786541,104,28.4785,65.6436,20171225,"Balochistan, Balochistan, Pakistan",5,-0.694246529837336,http://www.tribuneindia.com/news/nation/jadhav-s-meeting-with-family-did-not-constitute-consular-access--pak/518700.html
676879116,320,38.8951,-77.0364,20170729,"Washington, District of Columbia, United States",3,-0.0141402714932125,http://www.michigansthumb.com/news/world/article/Nicaragua-to-once-again-revive-old-damage-claim-11656173.php
669180770,508,31.5,34.75,20170630,Israel,1,-6.7473157371725,http://english.wafa.ps/page.aspx?id=6Rh0BTa91193165448a6Rh0BT
669004406,718,31.5,34.75,20170629,Israel,1,-6.74935986964618,http://english.wafa.ps/page.aspx?id=ySE7X4a91193165448aySE7X4
663258146,140,12.1508,-86.2683,20170609,"Managua, Managua, Nicaragua",4,-1.96259760633574,http://www.business-standard.com/article/news-ians/ex-un-general-assembly-president-d-escoto-dies-117060900177_1.html
660946287,119,28.4785,65.6436,20170601,"Balochistan, Balochistan, Pakistan",5,-3.310416139551,http://www.india.com/news/agencies/jadhav-will-be-alive-till-he-exhausts-clemency-pakistan-2191557/
656779691,204,30.0,70.0,20170518,Pakistan,1,-0.455534247844194,http://indiatoday.intoday.in/story/samajwadi-party-mla-abu-asim-azmi-zakir-naik-islamic-international-school/1/956876.html
