GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
811335680,351,45.4667,9.2,20181220,"Milan, Lombardia, Italy",4,-4.73801045008769,https://infotel.ca/newsitem/eu-italy-the-missing-investigating-the-dead/cp544601635
810879207,464,62.0,15.0,20181218,Sweden,1,-6.33007224330323,https://www.ny1.com/nyc/all-boroughs/ap-top-news/2018/12/18/fighting-in-yemeni-city-dies-down-as-cease-fire-takes-hold
810879208,172,62.0,15.0,20181218,Sweden,1,-6.33818273455541,https://www.ny1.com/nyc/all-boroughs/ap-top-news/2018/12/18/fighting-in-yemeni-city-dies-down-as-cease-fire-takes-hold
810922284,120,14.7978,42.9545,20181218,"Hodeida, Al ?udaydah, Yemen",4,-6.66312056737589,https://www.news24.com/World/News/fighting-in-yemeni-city-dies-down-as-cease-fire-takes-hold-20181218-2
810342910,220,32.0839,35.1847,20181216,"Red Crescent, West Bank (general), West Bank",4,-7.63358778625955,http://english.wafa.ps/page.aspx?id=LrOVQma107765088684aLrOVQm
810342911,110,32.0839,35.1847,20181216,"Red Crescent, West Bank (general), West Bank",4,-7.63358778625955,http://english.wafa.ps/page.aspx?id=LrOVQma107765088684aLrOVQm
810282939,128,32.0839,35.1847,20181215,"Red Crescent, West Bank (general), West Bank",4,-7.63358778625956,http://english.wafa.ps/page.aspx?id=yuuxhEa107765088684ayuuxhE
810282938,256,32.0839,35.1847,20181215,"Red Crescent, West Bank (general), West Bank",4,-7.63358778625956,http://english.wafa.ps/page.aspx?id=yuuxhEa107765088684ayuuxhE
809914142,130,,,20181214,,0,-2.54983031887618,https://www.southernminn.com/faribault_daily_news/news/article_0064ac45-2da4-5c3b-ae86-b11f627bb5d2.html
809442126,142,24.6408,46.7728,20181212,"Riyadh, Ar Riya?, Saudi Arabia",4,-2.53746429154226,https://www.reuters.com/article/us-yemen-security/pressure-builds-on-yemens-warring-parties-as-peace-talks-tackle-key-port-idUSKBN1OB0G7
809442124,146,24.6408,46.7728,20181212,"Riyadh, Ar Riya?, Saudi Arabia",4,-2.53746429154226,https://www.reuters.com/article/us-yemen-security/pressure-builds-on-yemens-warring-parties-as-peace-talks-tackle-key-port-idUSKBN1OB0G7
809167234,210,42.1497,-74.9384,20181211,"New York, United States",2,-8.32689381564059,https://www.stamfordadvocate.com/news/crime/article/Ex-head-of-New-York-s-Polytechnic-Institute-faces-13456337.php
809169567,144,33.8719,35.5097,20181211,"Beirut, Beyrouth, Lebanon",4,-8.33852603526247,https://www.seattletimes.com/business/ex-head-of-new-yorks-polytechnic-institute-faces-sentencing/
809167232,594,42.1497,-74.9384,20181211,"New York, United States",2,-8.32689381564059,https://www.stamfordadvocate.com/news/crime/article/Ex-head-of-New-York-s-Polytechnic-Institute-faces-13456337.php
808138915,204,59.3333,18.05,20181206,"Stockholm, Stockholm, Sweden",4,-1.69512648778669,http://www.newswest9.com/2018/12/06/latest-yemen-warring-sides-agree-prisoner-exchange/
808138916,202,59.3333,18.05,20181206,"Stockholm, Stockholm, Sweden",4,-1.6575994278303,http://www.ncnewsonline.com/news/national/the-latest-red-cross-to-oversee-yemen-prisoner-exchange/article_962a8882-5832-581d-9d67-2bd0d243ed14.html
808188177,294,59.75,18.3667,20181206,"Rimbo, Stockholm, Sweden",4,-4.95485455510036,https://www.ksl.com/article/46441866/prisoner-swap-deal-adds-to-hopes-for-downplayed-yemen-talks
807738360,125,,,20181205,,0,-3.66653488323054,https://www.palmbeachpost.com/news/20181204/family-of-four-displaced-by-west-palm-area-fire
807429074,130,,,20181204,,0,-1.62197642784588,https://www.scnow.com/news/local/article_a953c544-f767-11e8-b6dd-13334251ae52.html
805222751,936,34.4611,45.8626,20181125,"Sarpol-E Zahab, Kermanshah, Iran",4,-7.15883529614058,https://www.macon.com/news/nation-world/article222160600.html
804709346,115,,,20181123,,0,-2.79372327910616,https://www.wmar2news.com/news/region/howard-county/dog-rescued-from-fire-that-displaced-three-people-on-thanksgiving
803881741,856,37.7749,-122.419,20181120,"San Francisco, California, United States",3,-2.72059704580188,https://finance.yahoo.com/news/rain-could-hinder-search-victims-california-wildfire-050819743.html
803857616,461,37.7749,-122.419,20181120,"San Francisco, California, United States",3,-2.63300806696261,https://www.dailyamerican.com/news/nation/frantic-search-goes-on-for-missing-after-california-wildfire/article_16def164-f84c-5faf-852a-1f50ec0c7dae.html
803857615,195,39.6499,-121.568,20181120,"Butte County, California, United States",3,-3.13626391478526,http://www.wfmj.com/story/39503790/frantic-search-goes-on-for-missing-after-california-wildfire
803871217,669,36.17,-119.746,20181120,"California, United States",2,-2.85672810285998,https://www.yorkdispatch.com/story/news/2018/11/19/frantic-search-goes-missing-california-wildfire/38567803/
803881742,623,37.7749,-122.419,20181120,"San Francisco, California, United States",3,-2.72191687678113,https://finance.yahoo.com/news/rain-could-hinder-search-victims-california-wildfire-050819743.html
803840520,161,39.6499,-121.568,20181119,"Butte County, California, United States",3,-2.80239882215041,https://www.idahopress.com/news/national/frantic-search-goes-on-for-missing-after-california-wildfire/article_516bc708-523a-5962-be23-edd2f10dd118.html
803689020,120,21.219,92.1643,20181119,"Kutupalong, Chittagong, Bangladesh",4,-2.07598536878693,https://www.adelaidenow.com.au/lifestyle/kids-beating-the-odds-in-the-bangladesh-refugee-camps/news-story/e878e61b969ba088b24e24e846b6c3ea?nk=f7a7462722950c08bc2bbca577b91f76-1542621792
803130737,360,-19.9735,31.6605,20181116,"Charamba, Masvingo, Zimbabwe",4,-11.975521784028,https://www.kveo.com/news/more-than-40-killed-in-bus-accident-in-zimbabwe/1601006783
803073956,167,-20.9362,29.007,20181116,"Gwanda, Matabeleland South, Zimbabwe",4,-9.5921162725055,http://www.wsfa.com/2018/11/16/more-than-killed-bus-accident-zimbabwe/
803073958,281,-30.0,26.0,20181116,South Africa,1,-9.9591130128898,https://www.wftv.com/news/national-news/ap-top-news/more-than-40-killed-in-bus-accident-in-zimbabwe/873844329
803073957,280,-20.9362,29.007,20181116,"Gwanda, Matabeleland South, Zimbabwe",4,-9.8977771552466,http://www.wsfa.com/2018/11/16/more-than-killed-bus-accident-zimbabwe/
803073959,412,-17.8178,31.0447,20181116,"Harare, Mashonaland East, Zimbabwe",4,-10.7340317940495,https://www.wftv.com/news/national-news/ap-top-news/more-than-40-killed-in-bus-accident-in-zimbabwe/873844329
801506712,173,46.5667,24.3667,20181110,"Marasesti, Romania (general), Romania",4,0.0231566834641684,http://www.orissapost.com/google-remembers-engineer-elisa-leonida-zamfirescu/
801506711,105,46.5667,24.3667,20181110,"Marasesti, Romania (general), Romania",4,0.0231566834641684,http://www.orissapost.com/google-remembers-engineer-elisa-leonida-zamfirescu/
800276205,136,31.5333,35.1,20181106,"Hebron, Israel (general), Israel",4,-7.04225352112676,http://english.wafa.ps/page.aspx?id=N9jBffa106330796913aN9jBff
800089325,264,31.5333,35.1,20181105,"Hebron, Israel (general), Israel",4,-7.04225352112677,http://english.wafa.ps/page.aspx?id=jQuXLKa106330796913ajQuXLK
799139711,454,33.3395,69.9204,20181101,"Khost, Khowst, Afghanistan",4,-7.20242930293175,https://www.miamiherald.com/news/nation-world/article220937655.html
799262146,306,15.3547,44.2067,20181101,"Sanaa, San‘a', Yemen",4,-4.92785697017509,https://www.wsoctv.com/news/national-news/ap-top-news/yemenis-welcome-us-call-for-truce-but-obstacles-loom/864420719
799139712,235,42.833333,12.833333,20181101,Italy,1,-6.8896468179912,https://kztv10.com/news/ap-world-news/2018/10/31/ap-finds-almost-4900-migrants-headed-to-europe-go-missing/
799139713,235,42.833333,12.833333,20181101,Italy,1,-6.8896468179912,https://kztv10.com/news/ap-world-news/2018/10/31/ap-finds-almost-4900-migrants-headed-to-europe-go-missing/
799194057,276,14.7978,42.9545,20181101,"Hodeida, Al ?udaydah, Yemen",4,-6.1664906328195,https://theprovince.com/pmn/news-pmn/yemeni-rebels-seek-pressure-on-saudis-as-us-calls-for-truce/wcm/a380716d-dcea-414f-a591-a9d6de8fc492
