GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
810577585,190,14.7978,42.9545,20181217,"Hodeida, Al ?udaydah, Yemen",4,-6.74676306424593,https://www.pulse.com.gh/news/world/truce-in-yemens-hodeida-due-to-start-tuesday-after-new-clashes/dpzrk4w
804079551,276,39.828175,-98.5795,20181120,United States,1,-8.28436855337277,https://www.npr.org/2018/11/20/669596607/italy-wants-rescue-ship-seized-accuses-doctors-without-borders-of-illegal-dumpin
800929405,450,15.3333,43.3,20181108,"Bayda, Al Ma?wit, Yemen",4,-7.10214740007744,https://www.texomashomepage.com/news/troops-from-saudiled-coalition-take-yemen-port-neighborhood/1578695721
800747136,930,15.3333,43.3,20181107,"Bayda, Al Ma?wit, Yemen",4,-6.52665391608486,https://www.krqe.com/news/world-news/troops-from-saudiled-coalition-take-yemen-port-neighborhood/1578684614
800413703,110,14.7978,42.9545,20181106,"Hodeida, Al ?udaydah, Yemen",4,-6.81274471067843,https://www.msn.com/en-us/news/world/fears-for-civilians-rise-as-clashes-rattle-yemen-port-city/ar-BBPoSJl
799451835,1074,16.1667,42.9167,20181102,"Bani Hassan, ?ajjah, Yemen",4,-7.48371875565046,https://www.chron.com/news/article/AP-PHOTOS-Yemen-s-displaced-live-on-bread-13356897.php
799451832,1074,16.1667,42.9167,20181102,"Bani Hassan, ?ajjah, Yemen",4,-7.48371875565046,https://www.chron.com/news/article/AP-PHOTOS-Yemen-s-displaced-live-on-bread-13356897.php
796383168,120,40.314,-74.5089,20181022,"New Jersey, United States",2,-5.40788795282646,https://www.westport-news.com/news/article/Quarantined-nurse-returns-to-Doctors-Without-13324380.php
796296925,390,40.314,-74.5089,20181021,"New Jersey, United States",2,-5.37903189316253,https://www.sfgate.com/news/article/Quarantined-nurse-returns-to-Doctors-Without-13324380.php
792611968,615,-0.533333,166.916667,20181006,Nauru,1,-2.93007476107257,https://www.walchanewsonline.com.au/story/5687826/mental-health-carers-poised-to-leave-nauru/
792611967,615,-0.533333,166.916667,20181006,Nauru,1,-2.93007476107257,https://www.walchanewsonline.com.au/story/5687826/mental-health-carers-poised-to-leave-nauru/
789548696,182,25.0,17.0,20180925,Libya,1,-4.42930057009337,https://koaa.com/ap-world-news/2018/09/24/the-latest-charities-call-on-eu-to-save-migrant-rescue-ship/
