NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type
121,34.5167,69.1833,20070628,"Kabul, Kabol, Afghanistan",4
112,-1.45,-48.4833,20080131,"Para, ParáR, Brazil",4
112,51.5,-0.116667,20090304,"London, London, City of, United Kingdom",4
112,51.5,-0.116667,20090304,"London, London, City of, United Kingdom",4
227,54.0,-2.0,20090420,United Kingdom,1
239,55.6667,12.5833,20090725,"Copenhagen, Køavn*, Denmark",4
140,38.0,-97.0,20091030,United States,1
196,38.0,-97.0,20091030,United States,1
137,41.9,12.4833,20091118,"Rome, Lazio, Italy",4
208,55.6667,12.5833,20091212,"Copenhagen, Køavn*, Denmark",4
223,18.5392,-72.335,20100125,"Port-Au-Prince, Ouest, Haiti",4
216,18.5392,-72.335,20100125,"Port-Au-Prince, Ouest, Haiti",4
199,22.2627,89.2637,20100523,"Chakbara, Khulna, Bangladesh",4
119,25.0,45.0,20100802,Saudi Arabia,1
171,30.0,70.0,20100828,Pakistan,1
126,30.0,70.0,20100829,Pakistan,1
212,54.0,-2.0,20100829,United Kingdom,1
135,30.0,70.0,20100829,Pakistan,1
192,24.8667,67.05,20100829,"Karachi, Sindh, Pakistan",4
135,30.0,70.0,20100829,Pakistan,1
973,44.0407,-72.7093,20100924,"Vermont, United States",2
108,30.0,70.0,20101014,Pakistan,1
459,4.88447,-1.75536,20101214,"Takoradi, Ghana (general), Ghana",4
170,19.0,-72.4167,20110211,Haiti,1
468,0.0,0.0,20110501,,
216,0.0,0.0,20110501,,
153,49.515,-1.28761,20110520,"Le Havre, Basse-Normandie, France",4
153,49.515,-1.28761,20110520,"Le Havre, Basse-Normandie, France",4
123,26.1346,68.7696,20110606,"Sindh, Sindh, Pakistan",5
198,11.5,43.0,20110719,Djibouti,1
198,11.5,43.0,20110719,Djibouti,1
198,11.5,43.0,20110719,Djibouti,1
198,11.5,43.0,20110719,Djibouti,1
198,11.5,43.0,20110719,Djibouti,1
198,11.5,43.0,20110719,Djibouti,1
297,11.5,43.0,20110719,Djibouti,1
198,11.5,43.0,20110719,Djibouti,1
140,1.0,38.0,20110719,Kenya,1
198,11.5,43.0,20110719,Djibouti,1
182,3.96983,42.4412,20110720,"Bakool, Gedo, Somalia",4
147,2.19037,42.8761,20110720,"Shabelle, Bay, Somalia",4
179,11.5,43.0,20110725,Djibouti,1
126,19.0,-72.4167,20110805,Haiti,1
261,-2.26925,40.8991,20111014,"Lamu, Coast, Kenya",4
136,15.5881,32.5342,20111114,"Khartoum, Al Khartum, Sudan",4
185,-4.61667,55.45,20111127,"Victoria, Seychelles (general), Seychelles",4
113,35.0,135.75,20111127,"Kyoto, Kyoto, Japan",4
108,16.0,106.0,20111128,"Vietnam, Republic Of",1
198,16.0,8.0,20120325,Niger,1
189,16.0,8.0,20120325,Niger,1
403,13.5167,2.11667,20120325,"Niamey, Niamey, Niger",4
