NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type
756,33.3386,44.3939,19980113,"Baghdad, Baghdad, Iraq",4
270,33.3386,44.3939,19980113,"Baghdad, Baghdad, Iraq",4
668,33.3386,44.3939,19980113,"Baghdad, Baghdad, Iraq",4
222,33.3386,44.3939,19980222,"Baghdad, Baghdad, Iraq",4
214,33.3386,44.3939,19980223,"Baghdad, Baghdad, Iraq",4
255,-27.0,133.0,20060527,Australia,1
243,38.56,68.7739,20060818,"Dushanbe, Tajikistan (general), Tajikistan",4
297,31.7667,35.2333,20060922,"Jerusalem, Israel (general), Israel",4
297,31.7667,35.2333,20060922,"Jerusalem, Israel (general), Israel",4
236,33.8719,35.5097,20061122,"Beirut, Beyrouth, Lebanon",4
211,16.8053,96.1561,20071104,"Yangon, Yangon, Myanmar",4
320,16.8053,96.1561,20080522,"Rangoon, Yangon, Myanmar",4
333,16.8053,96.1561,20080525,"Yangon, Yangon, Myanmar",4
225,27.7167,85.3167,20080910,"Kathmandu, Bagmati, Nepal",4
227,38.8951,-77.0364,20081230,"White House, District of Columbia, United States",3
206,31.7667,35.2333,20090103,"Jerusalem, Israel (general), Israel",4
224,30.0445,31.2332,20090103,"Arab League, Al Qahirah, Egypt",4
315,38.0,-97.0,20090103,United States,1
288,31.7667,35.2333,20090106,"Jerusalem, Israel (general), Israel",4
252,31.4167,34.3333,20090106,"Gaza City, Israel (general), Israel",4
297,31.5,34.75,20090109,Israel,1
306,31.6693,34.5715,20090118,"Ashkelon, HaDarom, Israel",4
306,31.6693,34.5715,20090118,"Ashkelon, HaDarom, Israel",4
468,15.0,30.0,20090119,Sudan,1
234,15.0,30.0,20090119,Sudan,1
238,31.5,34.75,20090122,Israel,1
315,31.5,34.75,20090122,Israel,1
270,16.8053,96.1561,20090131,"Rangoon, Yangon, Myanmar",4
252,33.3386,44.3939,20090206,"Baghdad, Baghdad, Iraq",4
208,33.3386,44.3939,20090206,"Baghdad, Baghdad, Iraq",4
243,31.6693,34.5715,20090206,"Ashkelon, HaDarom, Israel",4
217,33.3386,44.3939,20090206,"Baghdad, Baghdad, Iraq",4
324,15.0,30.0,20090212,Sudan,1
205,15.5881,32.5342,20090316,"Khartoum, Al Khartum, Sudan",4
234,50.4268,80.2667,20090320,"Semipalatinsk, Shyghys Qazaqstan, Kazakhstan",4
207,40.0,127.0,20090401,North Korea,1
281,39.0194,125.755,20090405,"Pyongyang, P'yongyang-si, North Korea",4
241,39.0194,125.755,20090405,"Pyongyang, P'yongyang-si, North Korea",4
231,39.0194,125.755,20090413,"Pyongyang, P'yongyang-si, North Korea",4
235,37.0,127.5,20090413,South Korea,1
216,39.0194,125.755,20090416,"Pyongyang, P'yongyang-si, North Korea",4
242,7.0,81.0,20090421,Sri Lanka,1
234,7.0,81.0,20090421,Sri Lanka,1
216,7.0,81.0,20090428,Sri Lanka,1
208,39.0194,125.755,20090429,"Pyongyang, P'yongyang-si, North Korea",4
225,33.3386,44.3939,20090509,"Baghdad, Baghdad, Iraq",4
225,33.3386,44.3939,20090509,"Baghdad, Baghdad, Iraq",4
262,6.93194,79.8478,20090516,"Colombo, Western, Sri Lanka",4
234,7.0,81.0,20090518,Sri Lanka,1
225,7.0,81.0,20090518,Sri Lanka,1
510,6.93194,79.8478,20090518,"Colombo, Western, Sri Lanka",4
259,7.0,81.0,20090525,Sri Lanka,1
337,39.0194,125.755,20090525,"Pyongyang, P'yongyang-si, North Korea",4
208,39.0194,125.755,20090525,"Pyongyang, P'yongyang-si, North Korea",4
312,38.8951,-77.0364,20090529,"Washington, District of Columbia, United States",3
216,39.9289,116.388,20090603,"Beijing, Beijing, China",4
216,39.9289,116.388,20090603,"Beijing, Beijing, China",4
329,-5.4,39.7333,20090724,"Kimia, Pemba South, Tanzania",4
333,-5.4,39.7333,20090724,"Kimia, Pemba South, Tanzania",4
260,40.0,127.0,20090728,North Korea,1
204,37.7749,-122.419,20090731,"San Francisco, California, United States",3
261,33.0,65.0,20090801,Afghanistan,1
208,39.0194,125.755,20090805,"Pyongyang, P'yongyang-si, North Korea",4
301,20.0,77.0,20090806,India,1
261,47.87,42.1526,20090808,"Antonov, Rostovskaya Oblast', Russia",4
201,-4.32972,15.315,20090811,"Kinshasa, Kinshasa, Zaire",4
208,38.8951,-77.0364,20090818,"Washington, District of Columbia, United States",3
203,33.3386,44.3939,20090819,"Baghdad, Baghdad, Iraq",4
273,34.5167,69.1833,20090820,"Kabul, Kabol, Afghanistan",4
333,33.0,65.0,20090904,Afghanistan,1
225,38.8951,-77.0364,20090904,"Washington, District of Columbia, United States",3
237,33.3386,44.3939,20090915,"Baghdad, Baghdad, Iraq",4
271,33.0,65.0,20090916,Afghanistan,1
315,33.0,44.0,20090919,Iraq,1
455,35.685,139.751,20090921,"Tokyo, Tokyo, Japan",4
216,14.1,-87.2167,20090921,"Tegucigalpa, Francisco MorazáHO, Honduras",4
342,40.0,127.0,20090921,North Korea,1
222,14.1,-87.2167,20090923,"Tegucigalpa, Francisco MorazáHO, Honduras",4
222,14.1,-87.2167,20090923,"Tegucigalpa, Francisco MorazáHO, Honduras",4
277,19.745,96.1297,20090926,"Nay Pyi Taw, Mandalay, Myanmar",4
234,8.0,-66.0,20090926,Venezuela,1
291,35.75,51.5148,20090926,"Tehran, Tehran, Iran",4
412,55.6667,12.5833,20090926,"Copenhagen, Køavn*, Denmark",4
234,8.0,-66.0,20090926,Venezuela,1
342,55.6667,12.5833,20090926,"Copenhagen, Køavn*, Denmark",4
229,38.0,-97.0,20090928,United States,1
306,40.0,127.0,20090928,North Korea,1
333,35.75,51.5148,20090929,"Tehran, Tehran, Iran",4
243,38.0,-97.0,20091008,United States,1
379,34.5167,69.1833,20091008,"Kabul, Kabol, Afghanistan",4
660,33.0,44.0,20091009,Iraq,1
307,18.5167,-71.9833,20091010,"Fonds-Parisien, Ouest, Haiti",4
261,11.0,78.0,20091018,"Tamil Nadu, Tamil Nadu, India",5
611,38.8951,-77.0364,20091020,"White House, District of Columbia, United States",3
224,33.0,65.0,20091020,Afghanistan,1
342,55.6667,12.5833,20091021,"Copenhagen, Køavn*, Denmark",4
288,33.0,65.0,20091028,Afghanistan,1
405,34.5167,69.1833,20091031,"Kabul, Kabol, Afghanistan",4
202,33.6,73.0667,20091102,"Rawalpindi, Punjab, Pakistan",4
215,34.5167,69.1833,20091102,"Kabul, Kabol, Afghanistan",4
269,34.5167,69.1833,20091105,"Kabul, Kabol, Afghanistan",4
232,34.5167,69.1833,20091105,"Kabul, Kabol, Afghanistan",4
224,60.0,-95.0,20091106,Canada,1
279,34.5167,69.1833,20091107,"Kabul, Kabol, Afghanistan",4
297,3.25,73.0,20091109,Maldives,1
744,54.0,-2.0,20091118,United Kingdom,1
210,51.5,-0.116667,20091118,"London, London, City of, United Kingdom",4
217,34.5167,69.1833,20091121,"Kabul, Kabol, Afghanistan",4
288,34.5167,69.1833,20091122,"Kabul, Kabol, Afghanistan",4
212,55.6667,12.5833,20091128,"Copenhagen, Køavn*, Denmark",4
202,35.75,51.5148,20091130,"Tehran, Tehran, Iran",4
233,38.899,-77.0422,20091202,"World Bank, District of Columbia, United States",3
379,33.3386,44.3939,20091208,"Baghdad, Baghdad, Iraq",4
240,55.6667,12.5833,20091208,"Copenhagen, Køavn*, Denmark",4
230,55.6667,12.5833,20091209,"Copenhagen, Køavn*, Denmark",4
206,55.6667,12.5833,20091210,"Copenhagen, Køavn*, Denmark",4
234,33.0,65.0,20091210,Afghanistan,1
206,55.6667,12.5833,20091210,"Copenhagen, Køavn*, Denmark",4
208,15.5881,32.5342,20091213,"Khartoum, Al Khartum, Sudan",4
427,39.0194,125.755,20091213,"Pyongyang, P'yongyang-si, North Korea",4
252,-1.0,15.0,20091214,Congo,1
316,11.55,104.917,20091219,"Phnom Penh, (CB11), Cambodia",4
323,11.55,104.917,20091219,"Phnom Penh, (CB11), Cambodia",4
216,35.75,51.5148,20091222,"Tehran, Tehran, Iran",4
274,-10.0,-55.0,20100114,Brazil,1
271,19.0,-72.4167,20100114,Haiti,1
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
225,16.0678,108.221,20100114,"Danang, Ð N?ng, Vietnam, Republic Of",4
240,19.0,-70.6667,20100117,Dominican Republic,1
272,18.5392,-72.335,20100117,"Port-Au-Prince, Ouest, Haiti",4
221,18.5392,-72.335,20100118,"Port-Au-Prince, Ouest, Haiti",4
243,18.5392,-72.335,20100119,"Port Au Prince, Ouest, Haiti",4
211,18.5392,-72.335,20100123,"Port-Au-Prince, Ouest, Haiti",4
245,18.5392,-72.335,20100123,"Port-Au-Prince, Ouest, Haiti",4
