GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
808272281,104,27.0,30.0,20181207,Egypt,1,-3.66759786683042,https://www.reuters.com/article/us-israel-palestinians-un-idUSKBN1O52NV
807762747,350,2.06667,45.3667,20181205,"Mogadishu, Banaadir, Somalia",4,-2.88061787977818,https://uk.reuters.com/article/uk-usa-somalia/u-s-renews-permanent-diplomatic-presence-in-somalia-idUKKBN1O40H4
807762746,350,2.06667,45.3667,20181205,"Mogadishu, Banaadir, Somalia",4,-2.88061787977818,https://uk.reuters.com/article/uk-usa-somalia/u-s-renews-permanent-diplomatic-presence-in-somalia-idUKKBN1O40H4
807820878,110,48.8667,2.33333,20181205,"Paris, France (general), France",4,-2.26791674795661,http://en.rfi.fr/wire/20181205-climate-crusading-schoolgirl-pleads-next-generations-case
807431158,110,52.0,20.0,20181204,Poland,1,-0.650390189876007,https://www.eco-business.com/news/world-bank-ups-funds-to-tackle-existential-threat-of-climate-change/
807587816,167,34.0,9.0,20181204,Tunisia,1,6.22510707002046,https://www.businesswire.com/news/home/20181204005756/en/United-Arab-Emirates-Boost-Economies-Political-Social
806546512,192,34.0,9.0,20181130,Tunisia,1,5.43559623486403,https://www.marketwatch.com/press-release/the-council-of-arab-economic-unity-announces-a-common-vision-for-arab-digital-economy-2018-11-30
802966014,261,31.4167,34.3333,20181116,"Gaza, Israel (general), Israel",4,1.42857142857143,http://english.wafa.ps/page.aspx?id=8s2Vsqa106470704604a8s2Vsq
802966015,261,31.4167,34.3333,20181116,"Gaza, Israel (general), Israel",4,1.42857142857143,http://english.wafa.ps/page.aspx?id=8s2Vsqa106470704604a8s2Vsq
802966016,174,31.4167,34.3333,20181116,"Gaza, Israel (general), Israel",4,1.42857142857143,http://english.wafa.ps/page.aspx?id=8s2Vsqa106470704604a8s2Vsq
802966017,174,31.4167,34.3333,20181116,"Gaza, Israel (general), Israel",4,1.42857142857143,http://english.wafa.ps/page.aspx?id=8s2Vsqa106470704604a8s2Vsq
802845005,192,31.4167,34.3333,20181115,"Gaza, Israel (general), Israel",4,1.42331333544694,http://english.wafa.ps/page.aspx?id=tDOBvha106470704604atDOBvh
802845004,194,31.4167,34.3333,20181115,"Gaza, Israel (general), Israel",4,1.41248873509063,http://english.wafa.ps/page.aspx?id=tDOBvha106470704604atDOBvh
802845007,122,31.4167,34.3333,20181115,"Gaza, Israel (general), Israel",4,1.42857142857143,http://english.wafa.ps/page.aspx?id=tDOBvha106470704604atDOBvh
802845006,122,31.4167,34.3333,20181115,"Gaza, Israel (general), Israel",4,1.42857142857143,http://english.wafa.ps/page.aspx?id=tDOBvha106470704604atDOBvh
795521545,146,35.0,105.0,20181018,China,1,1.80460119205801,https://www.news24.com/Africa/News/why-african-countries-should-strengthen-their-public-service-20181018
795521542,146,35.0,105.0,20181018,China,1,1.80460119205801,https://www.news24.com/Africa/News/why-african-countries-should-strengthen-their-public-service-20181018
794421999,222,-7.1046,112.337,20181014,"Bali, Jawa Timur, Indonesia",4,-3.14855506327039,https://ewnews.com/dpm-2018-annual-meetings-of-imf-world-bank
794263639,136,-7.1046,112.337,20181013,"Bali, Jawa Timur, Indonesia",4,-4.72312808418327,https://www.msn.com/en-us/finance/markets/japan-as-next-years-g20-chair-wants-to-put-global-imbalances-on-the-map/ar-BBOjk9Q
794263638,118,-7.1046,112.337,20181013,"Bali, Jawa Timur, Indonesia",4,-4.38023114974603,https://www.msn.com/en-us/finance/markets/japan-as-next-years-g20-chair-wants-to-put-global-imbalances-on-the-map/ar-BBOjk9Q
794038488,265,-7.1046,112.337,20181012,"Bali, Jawa Timur, Indonesia",4,-3.09676474531351,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12141684
794027307,138,-7.1046,112.337,20181012,"Bali, Jawa Timur, Indonesia",4,-8.13508850809936,https://www.sfgate.com/news/world/article/UN-secretary-general-visits-quake-hit-Indonesian-13301623.php
794027305,430,-4.0432,120.272,20181012,"Talise, Sulawesi Selatan, Indonesia",4,-8.1651590389445,https://www.sfgate.com/news/world/article/UN-secretary-general-visits-quake-hit-Indonesian-13301623.php
794050626,120,54.0,-4.0,20181012,United Kingdom,1,-3.79594899012519,http://articles.economictimes.indiatimes.com/news/international/world-news/new-world-bank-fund-to-insure-against-climate-disasters/articleshow/66181574.cms
794027306,230,-7.1046,112.337,20181012,"Bali, Jawa Timur, Indonesia",4,-8.13508850809936,https://www.sfgate.com/news/world/article/UN-secretary-general-visits-quake-hit-Indonesian-13301623.php
793696412,262,39.9289,116.388,20181011,"Beijing, Beijing, China",4,-4.53436615398817,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12140931
793794977,233,-7.1046,112.337,20181011,"Bali, Jawa Timur, Indonesia",4,-2.07001556038806,https://www.pahomepage.com/news/the-latest-imf-head-says-pakistan-help-must-be-transparent/1515065378
