GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
809854959,154,14.7978,42.9545,20181213,"Hodeida, Al ?udaydah, Yemen",4,-4.2033639451872,https://www.greensboro.com/ap/us_world/yemen-s-warring-sides-agree-on-truce-in-key-port/article_45d0bc7d-e3bc-55ca-90c3-5a9d9332e695.html
808173841,124,59.3333,18.05,20181206,"Stockholm, Stockholm, Sweden",4,-2.29184435400689,https://www.myarklamiss.com/news/the-latest-yemens-warring-sides-agree-on-prisoner-exchange/1642497488
803247446,1541,15.3547,44.2067,20181117,"Sanaa, San‘a', Yemen",4,-5.62526353846134,https://am970theanswer.com/news/politics/un-envoy-warring-parties-in-yemen-agree-to-meet-in-sweden
801275083,160,14.7978,42.9545,20181109,"Hodeida, Al ?udaydah, Yemen",4,-6.69376461895633,https://www.yahoo.com/news/yemen-rebels-battle-slow-loyalist-advance-key-port-102459097.html
801275082,150,14.7978,42.9545,20181109,"Hodeida, Al ?udaydah, Yemen",4,-6.69376461895633,https://www.yahoo.com/news/yemen-rebels-battle-slow-loyalist-advance-key-port-102459097.html
794855054,645,15.5,47.5,20181016,Yemen,1,-6.70693629901964,http://www.themoreheadnews.com/cnhi_network/yemen-headed-for-world-s-worst-famine-in-years-world/article_d3c1d5f6-3731-56ed-aaf1-5f48befc55f9.html
792014919,340,31.95,35.9333,20181004,"Amman, (JO11), Jordan",4,-1.25551351795778,https://www.registercitizen.com/business/technology/article/Aid-groups-now-using-the-same-data-technology-as-13280523.php
789945341,110,15.5,47.5,20180926,Yemen,1,-2.90097521640103,http://www.fao.org/news/story/en/item/1153604/icode/
789626341,270,15.6942,43.6058,20180925,"Hajjah, ?ajjah, Yemen",4,-6.4398763567715,https://www.stamfordadvocate.com/news/medical/article/UN-rushes-aid-to-hunger-stricken-Yemeni-district-13255442.php
787176065,116,37.0594,37.3825,20180915,"Gaziantep, Gaziantep, Turkey",4,-3.86201759622027,http://www.ncnewsonline.com/news/national/defying-dangers-idlib-residents-protest-syria-s-assad/article_8d5e5b23-a866-5725-ab9c-89e6c2aaf669.html
787032862,1168,37.0594,37.3825,20180914,"Gaziantep, Gaziantep, Turkey",4,-4.41202747891332,https://www.news957.com/world/2018/09/14/erdogan-putin-to-meet-as-turkey-seeks-solution-for-idlib/
786998514,120,13.8706,6.74959,20180914,"Dargue, Maradi, Niger",4,-1.37995909013311,http://news.trust.org/item/20180914101135-wygmx
780222632,116,25.0,45.0,20180818,Saudi Arabia,1,-7.61331392725637,http://www.mysuncoast.com/ap/yemeni-official-says-rebels-storm-wfp-warehouse-in-port-city/article_a8c68794-9faa-5a30-acf8-8eed24c597c3.html
780149166,884,25.0,45.0,20180817,Saudi Arabia,1,-7.44746924330815,https://www.seattletimes.com/nation-world/yemeni-official-says-rebels-storm-wfp-warehouse-in-port-city/
777165728,110,39.0194,125.755,20180805,"Pyongyang, P'yongyang-si, North Korea",4,-4.97353169773075,https://www.2lt.com.au/north-korea-alerts-citizens-of-looming-natural-heatwave/
777056045,720,39.0194,125.755,20180804,"Pyongyang, P'yongyang-si, North Korea",4,-4.97629221920312,https://www.jamaicantimes.com/news/257788636/north-korea-alerts-citizens-of-looming-natural-heatwave
777056046,288,39.0194,125.755,20180804,"Pyongyang, P'yongyang-si, North Korea",4,-4.97629221920312,https://www.jamaicantimes.com/news/257788636/north-korea-alerts-citizens-of-looming-natural-heatwave
772477185,234,8.0,-66.0,20180717,Venezuela,1,-1.5748870747863,https://www.washingtonpost.com/world/the_americas/us-pledges-6-million-in-new-aid-for-venezuelan-migrants/2018/07/16/5dac317c-8957-11e8-9d59-dccc2c0cabcf_story.html
767289496,120,33.5,36.3,20180626,"Damascus, Dimashq, Syria",4,-7.18151418274553,https://www.al-monitor.com/pulse/contents/afp/2018/06/syria-conflict-daraa-syria-conflict-daraa.html
764870002,200,14.7978,42.9545,20180617,"Hodeida, Al ?udaydah, Yemen",4,-2.97601709289823,https://www.thenewstribune.com/news/business/article213304694.html
764791683,830,14.7978,42.9545,20180616,"Hodeida, Al ?udaydah, Yemen",4,-3.41877734208855,https://apnews.com/15498ed266c2462e9b2caf4f00f11656
754021816,120,37.0,127.5,20180508,South Korea,1,-2.49105472168603,https://www.msn.com/en-us/news/world/un-food-agency-aims-to-boost-aid-to-north-korea-but-lacks-funds/ar-AAwVKnE
