GLOBALEVENTID,NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type,AvgTone,SOURCEURL
810500888,199,24.6408,46.7728,20181217,"Riyadh, Ar Riya?, Saudi Arabia",4,-6.35969940141022,http://www.digitaljournal.com/news/world/saudi-arabia-slams-us-senate-vote-as-interference/article/539113
809590811,115,51.1811,71.4278,20181212,"Astana, Gorod Astana, Kazakhstan",4,9.28795354426217,https://news.un.org/en/story/2018/12/1028331
808792508,108,14.7978,42.9545,20181209,"Hodeida, Al ?udaydah, Yemen",4,-5.81652171739509,http://www.daily-sun.com/post/355985/2018/12/09/Qatar-emir-skips-Saudihosted-summit-with-Gulf-rivals
807547647,190,22.25,114.166667,20181204,Hong Kong,1,-2.5017538775946,https://www.kvue.com/article/news/nation-now/who-seeks-clear-guidelines-on-gene-editing-after-claims-of-babies-with-altered-dna/465-5dd7e07b-06c4-46f0-b566-95625355a635
806901350,770,45.5,-73.5833,20181201,"Montreal, Quebec, Canada",4,2.84651306189372,https://www.alaskahighwaynews.ca/montreal-researchers-say-app-to-support-hiv-self-testing-shows-promise-1.23516138
806502327,138,7.0,21.0,20181130,Central African Republic,1,-5.41164622253533,http://wadk.com/world-news/b0147e9c8eea0b3bb8e1d7318a283df2
802380776,216,39.828175,-98.5795,20181114,United States,1,-1.12563507961822,https://www.kmov.com/news/all-adults-should-be-screened-for-unhealthy-alcohol-use-new/article_3c969b22-e761-11e8-bc13-a71bf55422f6.html
801457629,130,14.7978,42.9545,20181110,"Hodeida, Al ?udaydah, Yemen",4,-5.51772200891112,https://www.pulse.com.gh/news/world/yemen-rebels-battle-to-slow-loyalist-advance-in-key-port-city-id9088348.html
801275075,155,14.7978,42.9545,20181109,"Hodeida, Al ?udaydah, Yemen",4,-5.99396763948557,https://www.yahoo.com/news/yemen-rebels-battle-slow-loyalist-advance-key-port-102459097.html
801002708,240,53.8,-1.25,20181108,"Sherburn-In-Elmet, North Yorkshire, United Kingdom",4,0.55955199295715,https://metro.co.uk/2018/11/08/mum-weans-daughter-off-breastfeeding-at-age-of-nine-8117479/
801065513,354,54.0,-1.5,20181108,"Yorkshire, North Yorkshire, United Kingdom",4,0.562816052548556,https://www.gananoquereporter.com/news/weird/mummy-milk-u-k-mom-who-breastfed-daughter-until-age-9-said-its-created-lifelong-bond/wcm/3427375f-c301-4478-a846-01a4f07edb4d
800869920,105,25.0,45.0,20181108,Saudi Arabia,1,-8.04599816471117,https://www.business-standard.com/article/pti-stories/14-million-on-brink-of-famine-in-yemen-charities-118110800048_1.html
799211920,318,20.0,77.0,20181101,India,1,-0.729259013875166,https://www.npr.org/sections/goatsandsoda/2018/11/01/655844287/merck-pulls-out-of-agreement-to-supply-life-saving-vaccine-to-millions-of-kids
798767955,208,-1.0,15.0,20181031,Congo,1,-3.13973350946221,https://www.middletownpress.com/news/medical/article/UN-demands-immediate-halt-to-attacks-in-Ebola-13348227.php
798767957,208,-1.0,15.0,20181031,Congo,1,-3.13973350946221,https://www.middletownpress.com/news/medical/article/UN-demands-immediate-halt-to-attacks-in-Ebola-13348227.php
798767953,208,-1.0,15.0,20181031,Congo,1,-3.13973350946221,https://www.middletownpress.com/news/medical/article/UN-demands-immediate-halt-to-attacks-in-Ebola-13348227.php
798767959,144,62.0,15.0,20181031,Sweden,1,-3.15168668976551,https://www.middletownpress.com/news/medical/article/UN-demands-immediate-halt-to-attacks-in-Ebola-13348227.php
798731253,216,-1.0,15.0,20181030,Congo,1,-3.15179389497236,https://townhall.com/news/politics-elections/2018/10/30/un-demands-immediate-halt-to-attacks-in-ebola-areas-in-congo-n2533310
798727961,140,42.1497,-74.9384,20181030,"New York, United States",2,-1.49248773696564,https://www.cnn.com/2018/10/30/health/pregnancy-intervals-ages-health-risks-study/
798731255,150,62.0,15.0,20181030,Sweden,1,-3.14805215915966,https://townhall.com/news/politics-elections/2018/10/30/un-demands-immediate-halt-to-attacks-in-ebola-areas-in-congo-n2533310
798731251,216,-1.0,15.0,20181030,Congo,1,-3.15179389497236,https://townhall.com/news/politics-elections/2018/10/30/un-demands-immediate-halt-to-attacks-in-ebola-areas-in-congo-n2533310
798731249,216,-1.0,15.0,20181030,Congo,1,-3.15179389497236,https://townhall.com/news/politics-elections/2018/10/30/un-demands-immediate-halt-to-attacks-in-ebola-areas-in-congo-n2533310
798514926,110,38.8951,-77.0364,20181030,"Washington, District of Columbia, United States",3,-3.8527493936459,https://www.bangkokpost.com/news/world/1567014/ideal-timing-between-pregnancies-is-at-least-one-year-study
