NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type
169,-1.45,-48.4833,20071124,"Belem, ParáR, Brazil",4
145,31.7667,35.2333,20090121,"Jerusalem, Israel (general), Israel",4
202,31.5,34.75,20090121,Israel,1
182,31.4167,34.3333,20090121,"Gaza City, Israel (general), Israel",4
163,51.5,-0.116667,20090210,"London, London, City of, United Kingdom",4
102,49.25,-123.133,20090212,"Vancouver, British Columbia, Canada",4
216,38.0,-97.0,20090314,United States,1
162,43.3504,-84.5603,20090324,"Michigan, United States",2
120,32.0,53.0,20090421,Iran,1
216,32.0,53.0,20090421,Iran,1
144,-20.0,30.0,20090505,Zimbabwe,1
429,35.75,51.5148,20090620,"Tehran, Tehran, Iran",4
138,30.05,31.25,20090621,"Cairo, Al Qahirah, Egypt",4
461,35.75,51.5148,20090621,"Tehran, Tehran, Iran",4
105,35.75,51.5148,20090623,"Tehran, Tehran, Iran",4
105,35.75,51.5148,20090623,"Tehran, Tehran, Iran",4
105,35.75,51.5148,20090623,"Tehran, Tehran, Iran",4
114,-0.358173,42.5454,20090625,"Kismayo, Jubbada Hoose, Somalia",4
114,-0.358173,42.5454,20090625,"Kismayo, Jubbada Hoose, Somalia",4
1235,13.0,-85.0,20090731,Nicaragua,1
1235,13.0,-85.0,20090731,Nicaragua,1
1235,13.0,-85.0,20090731,Nicaragua,1
117,23.0,-102.0,20090817,Mexico,1
117,23.0,-102.0,20090817,Mexico,1
117,23.0,-102.0,20090817,Mexico,1
136,-31.9333,115.833,20090819,"Perth, Western Australia, Australia",4
438,3.16667,101.7,20090824,"Kuala Lumpur, Kuala Lumpur, Malaysia",4
118,35.685,139.751,20090910,"Tokyo, Tokyo, Japan",4
129,56.0,24.0,20090912,Lithuania,1
106,14.1,-87.2167,20090923,"Tegucigalpa, Francisco MorazáHO, Honduras",4
110,14.1,-87.2167,20090924,"Tegucigalpa, Francisco MorazáHO, Honduras",4
132,36.297,59.6062,20091007,"Mashhad, (IR30), Iran",4
165,36.297,59.6062,20091007,"Mashhad, (IR30), Iran",4
315,38.0,-97.0,20091010,United States,1
151,35.75,51.5148,20091010,"Tehran, Tehran, Iran",4
180,-33.0,-56.0,20091020,Uruguay,1
162,-17.8178,31.0447,20091030,"Harare, Mashonaland East, Zimbabwe",4
108,24.6408,46.7728,20091105,"Riyadh, Ar Riya?, Saudi Arabia",4
153,53.3331,-6.24889,20091126,"Dublin, Dublin, Ireland",4
207,32.0,53.0,20091219,Iran,1
207,32.0,53.0,20091219,Iran,1
207,32.0,53.0,20091219,Iran,1
261,39.9072,116.391,20091225,"Tiananmen, Beijing, China",4
182,39.9289,116.388,20091229,"Beijing, Beijing, China",4
243,26.1642,32.7267,20100106,"Qena, Qina, Egypt",4
253,26.1642,32.7267,20100107,"Qena, Qina, Egypt",4
189,-13.5,34.0,20100118,Malawi,1
189,-13.5,34.0,20100118,Malawi,1
232,27.0112,49.6583,20100124,"Jubail, Ash Sharqiyah, Saudi Arabia",4
143,23.6108,116.285,20100202,"Pudong, Guangdong, China",4
115,23.6108,116.285,20100202,"Pudong, Guangdong, China",4
108,20.0,77.0,20100725,India,1
460,35.685,139.751,20100728,"Tokyo, Tokyo, Japan",4
415,28.6796,114.915,20100731,"Yafeng, Jiangxi, China",4
149,43.6667,-79.4167,20100805,"Toronto, Ontario, Canada",4
102,38.8951,-77.0364,20100810,"Washington, District of Columbia, United States",3
138,51.5,-0.116667,20100810,"London, London, City of, United Kingdom",4
1215,33.0,65.0,20100812,Afghanistan,1
279,33.0,65.0,20100813,Afghanistan,1
161,36.729,68.857,20100816,"Kunduz, Kondoz, Afghanistan",4
201,36.729,68.857,20100816,"Kunduz, Kondoz, Afghanistan",4
175,20.5992,-76.1325,20100817,"San German, HolguíCU, Cuba",4
141,38.8951,-77.0364,20100817,"Washington, District of Columbia, United States",3
175,20.5992,-76.1325,20100817,"San German, HolguíCU, Cuba",4
443,24.6408,46.7728,20100819,"Riyadh, Ar Riya?, Saudi Arabia",4
