NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type
118,39.9289,116.388,20070407,"Beijing, Beijing, China",4
221,42.1126,43.7915,20080828,"Tamarasheni, Georgia (general), Georgia",4
225,42.3045,43.9412,20080828,"Kekhvi, Georgia (general), Georgia",4
119,31.4167,34.3333,20090103,"Gaza City, Israel (general), Israel",4
116,31.4167,34.3333,20090103,"Gaza City, Israel (general), Israel",4
103,31.7667,35.2333,20090105,"Jerusalem, Israel (general), Israel",4
127,31.7667,35.2333,20090105,"Jerusalem, Israel (general), Israel",4
109,31.4167,34.3333,20090112,"Gaza City, Israel (general), Israel",4
130,32.0,53.0,20090211,Iran,1
119,33.7,73.1667,20090312,"Islamabad, Islamabad, Pakistan",4
135,-20.0,30.0,20090505,Zimbabwe,1
432,33.3386,44.3939,20090509,"Baghdad, Baghdad, Iraq",4
118,6.93194,79.8478,20090513,"Colombo, Western, Sri Lanka",4
116,31.5119,34.4411,20090522,"Unrwa, Gaza Strip (general), Gaza Strip",4
588,35.75,51.5148,20090725,"Tehran, Tehran, Iran",4
279,-3.5,30.0,20090802,Burundi,1
1663,-3.5,30.0,20090803,Burundi,1
315,31.5,34.75,20090807,Israel,1
315,31.5,34.75,20090807,Israel,1
120,31.7667,35.2333,20090814,"Jerusalem, Israel (general), Israel",4
135,34.5167,69.1833,20090821,"Kabul, Kabol, Afghanistan",4
135,16.1667,98.6,20090917,"Maung, Kayin State, Myanmar",4
135,16.1667,98.6,20090917,"Maung, Kayin State, Myanmar",4
216,-17.8178,31.0447,20091102,"Harare, Mashonaland East, Zimbabwe",4
139,46.0706,12.5947,20091104,"Aviano, Friuli-Venezia Giulia, Italy",4
118,35.75,51.5148,20091106,"Tehran, Tehran, Iran",4
108,6.86667,124.467,20091125,"Ampatuan, Maguindanao, Philippines",4
161,14.6042,120.982,20091125,"Manila, Manila, Philippines",4
314,7.13333,124.3,20091126,"Maguindanao, Maguindanao, Philippines",5
171,9.16667,9.75,20100120,"Plateau State, Plateau, Nigeria",5
144,6.45306,3.39583,20100121,"Lagos, Lagos, Nigeria",4
385,25.0,45.0,20100530,Saudi Arabia,1
285,25.0,45.0,20100530,Saudi Arabia,1
234,51.0,9.0,20100629,Germany,1
289,12.1085,15.0482,20100721,"Ndjamena, (CD04), Chad",4
131,15.0,19.0,20100721,Chad,1
140,35.75,51.5148,20100812,"Tehran, Tehran, Iran",4
150,41.0,64.0,20100816,Uzbekistan,1
134,47.564,-122.275,20100831,"Columbia, Washington, United States",3
585,35.0,38.0,20100920,Syria,1
126,35.75,51.5148,20100928,"Tehran, Tehran, Iran",4
126,35.75,51.5148,20100928,"Tehran, Tehran, Iran",4
189,13.0,105.0,20101028,Cambodia,1
198,8.0,38.0,20101108,Ethiopia,1
207,8.0,38.0,20101108,Ethiopia,1
207,8.0,38.0,20101108,Ethiopia,1
104,30.199,67.0097,20101213,"Quetta, Balochistan, Pakistan",4
178,31.7667,35.2333,20101219,"Jerusalem, Israel (general), Israel",4
122,18.5392,-72.335,20110117,"Port-Au-Prince, Ouest, Haiti",4
114,21.0333,105.85,20110125,"Hanoi, Ha N?i, Vietnam, Republic Of",4
150,39.9289,116.388,20110125,"Beijing, Beijing, China",4
120,39.9289,116.388,20110125,"Beijing, Beijing, China",4
120,39.9289,116.388,20110125,"Beijing, Beijing, China",4
150,39.9289,116.388,20110125,"Beijing, Beijing, China",4
290,30.05,31.25,20110128,"Cairo, Al Qahirah, Egypt",4
173,30.05,31.25,20110204,"Cairo, Al Qahirah, Egypt",4
216,30.05,31.25,20110204,"Cairo, Al Qahirah, Egypt",4
173,30.05,31.25,20110204,"Cairo, Al Qahirah, Egypt",4
189,30.05,31.25,20110207,"Cairo, Al Qahirah, Egypt",4
196,30.05,31.25,20110207,"Cairo, Al Qahirah, Egypt",4
189,30.05,31.25,20110207,"Cairo, Al Qahirah, Egypt",4
183,15.0,48.0,20110214,Yemen,1
259,38.8951,-77.0364,20110214,"Washington, District of Columbia, United States",3
259,38.8951,-77.0364,20110214,"Washington, District of Columbia, United States",3
105,26.2361,50.5831,20110219,"Manama, Al Manamah, Bahrain",4
117,30.0445,31.2332,20110220,"Arab League, Al Qahirah, Egypt",4
252,27.0,30.0,20110220,Egypt,1
108,38.0,-97.0,20110220,United States,1
117,30.0445,31.2332,20110220,"Arab League, Al Qahirah, Egypt",4
127,32.8925,13.18,20110220,"Tripoli, Tarabulus, Libya",4
117,30.0445,31.2332,20110220,"Arab League, Al Qahirah, Egypt",4
395,32.8925,13.18,20110221,"Tripoli, Tarabulus, Libya",4
235,46.0,2.0,20110221,France,1
815,32.8925,13.18,20110221,"Tripoli, Tarabulus, Libya",4
147,32.8925,13.18,20110221,"Tripoli, Tarabulus, Libya",4
319,32.8925,13.18,20110222,"Tripoli, Tarabulus, Libya",4
136,40.314,-74.5089,20110222,"New Jersey, United States",2
106,36.17,-119.746,20110222,"California, United States",2
170,32.8925,13.18,20110223,"Tripoli, Tarabulus, Libya",4
176,32.8925,13.18,20110302,"Tripoli, Tarabulus, Libya",4
205,32.8925,13.18,20110302,"Tripoli, Tarabulus, Libya",4
117,33.7,73.1667,20110302,"Islamabad, Islamabad, Pakistan",4
117,33.7,73.1667,20110302,"Islamabad, Islamabad, Pakistan",4
153,25.0,17.0,20110302,Libya,1
330,32.8925,13.18,20110302,"Tripoli, Tarabulus, Libya",4
522,32.8925,13.18,20110302,"Tripoli, Tarabulus, Libya",4
104,32.8925,13.18,20110304,"Tripoli, Tarabulus, Libya",4
