NumMentions,ActionGeo_Lat,ActionGeo_Long,SQLDATE,ActionGeo_FullName,ActionGeo_Type
162,38.8951,-77.0364,20090425,"White House, District of Columbia, United States",3
108,38.8951,-77.0364,20090425,"White House, District of Columbia, United States",3
135,19.4342,-99.1386,20090505,"Mexico City, Distrito Federal, Mexico",4
135,19.4342,-99.1386,20090505,"Mexico City, Distrito Federal, Mexico",4
108,52.15,-97.7167,20090806,"Saskatchewan, Manitoba, Canada",4
176,10.0,8.0,20090814,Nigeria,1
117,38.0,-97.0,20090822,United States,1
276,13.75,100.517,20090924,"Bangkok, Krung Thep Mahanakhon, Thailand",4
170,50.4333,30.5167,20091102,"Kiev, Ukraine (general), Ukraine",4
108,21.4267,39.8261,20091121,"Mecca, Makkah, Saudi Arabia",4
144,-26.2,28.0833,20091201,"Johannesburg, Gauteng, South Africa",4
255,47.0,8.0,20100129,Switzerland,1
198,-13.5,34.0,20100129,Malawi,1
224,34.8375,-106.237,20100810,"New Mexico, United States",2
279,1.0,38.0,20100810,Kenya,1
136,62.0,15.0,20100811,Sweden,1
160,36.17,-119.746,20100901,"California, United States",2
225,40.314,-74.5089,20100901,"New Jersey, United States",2
108,46.1956,6.14811,20100922,"Geneva, Genè, Switzerland",4
160,47.0,8.0,20100922,Switzerland,1
305,47.0,8.0,20100922,Switzerland,1
183,47.0,8.0,20100922,Switzerland,1
110,46.1956,6.14811,20100922,"Geneva, Genè, Switzerland",4
270,46.1956,6.14811,20100922,"Geneva, Genè, Switzerland",4
108,6.45306,3.39583,20101025,"Lagos, Lagos, Nigeria",4
167,12.3703,-1.52472,20101206,"Ouagadougou, Kadiogo, Burkina Faso",4
126,39.9523,-75.1638,20110201,"Philadelphia, Pennsylvania, United States",3
207,36.0,138.0,20110322,Japan,1
493,35.685,139.751,20110322,"Tokyo, Tokyo, Japan",4
108,36.0,138.0,20110323,Japan,1
612,50.4333,30.5167,20110418,"Kiev, Ukraine (general), Ukraine",4
489,50.4333,30.5167,20110419,"Kiev, Ukraine (general), Ukraine",4
342,50.4333,30.5167,20110420,"Kiev, Ukraine (general), Ukraine",4
171,50.4333,30.5167,20110425,"Kiev, Ukraine (general), Ukraine",4
109,50.4333,30.5167,20110426,"Kiev, Ukraine (general), Ukraine",4
223,38.0,-97.0,20110607,United States,1
131,51.5,-0.116667,20110607,"London, London, City of, United Kingdom",4
126,61.5,23.75,20110615,"Tampere, Landskapet Birkaland, Finland",4
103,30.0643,31.3481,20110629,"World Health Organization, Al Qahirah, Egypt",4
387,45.5,-73.5833,20110816,"Montreal, Quebec, Canada",4
189,32.8925,13.18,20110828,"Tripoli, Tarabulus, Libya",4
314,41.85,-87.6501,20110926,"Chicago, Illinois, United States",3
